TEXT,FROM_USER,CREATED_AT
Here's the slideshow version of my talk yesterday. http://t.co/EbbLmlqL #lawdi,ewg118,"Sat, 02 Jun 2012 20:26:59 +0000"
great idea by @davidamichelson to put together a document for how to get started at various levels/for various reasons #lawdi,ByzCapp,"Sat, 02 Jun 2012 20:25:58 +0000"
@davidamichelson And how do we talk to deans? ISAW are offering us collaboration - can we sign up? It doesn't cost anything... #lawdi,eltonteb,"Sat, 02 Jun 2012 20:24:33 +0000"
"love twitter today: following three meetups from comfort of home: #desgeo2012, #nvc2012, and #lawdi. Livestream o' #desgeo2012 is great.",mickimcgee,"Sat, 02 Jun 2012 20:24:29 +0000"
We need to share what we have learnt at #lawdi with the wider archeaological/heritage community for emulation and as terms of reference.,portableant,"Sat, 02 Jun 2012 20:22:17 +0000"
RT @classicslib: #lawdi Another big takeaway - a little broken is okay. The perfect is the enemy of the good.,chrpr,"Sat, 02 Jun 2012 20:21:17 +0000"
wow ... go away for a couple hours and the #lawdi folks pump out 200+ tweets!,rogueclassicist,"Sat, 02 Jun 2012 20:19:46 +0000"
RT @classicslib: #lawdi Another big takeaway - a little broken is okay. The perfect is the enemy of the good.,BradHafford,"Sat, 02 Jun 2012 20:19:08 +0000"
"This workshop is a catalyst for development, to provide knowledge to move towards a LOD toolset. We're not trying to make perfect #lawdi",portableant,"Sat, 02 Jun 2012 20:18:14 +0000"
@sebhth How can we arm people to go back to their institutions + convince their tech people to go for stable URIs? A. show by example #lawdi,eltonteb,"Sat, 02 Jun 2012 20:18:04 +0000"
@sebhth: be armed with a vocabulary so you can make an argument for stable URIs and links #lawdi,ByzCapp,"Sat, 02 Jun 2012 20:17:29 +0000"
#lawdi Another big takeaway - a little broken is okay. The perfect is the enemy of the good.,classicslib,"Sat, 02 Jun 2012 20:16:51 +0000"
@leifuss we wouldn't say that Livy is crap because half the books are missing - we need to work with what we have #lawdi,eltonteb,"Sat, 02 Jun 2012 20:15:26 +0000"
"@leifuss ""We don't say, well, Livy is crap because there are books missing."" #lawdi",classicslib,"Sat, 02 Jun 2012 20:15:13 +0000"
"If we build apps, then we need them to fit user demand. Why do they need to consume our data, what can they do with it? #lawdi",portableant,"Sat, 02 Jun 2012 20:12:01 +0000"
"#lawdi concerns about interfaces more important in 1 year, after projects in this room have had a chance to create LOD, link to others' LOD",elli_m,"Sat, 02 Jun 2012 20:11:50 +0000"
#lawdi Motto of this conference could be taken from E. M. Forster: Only Connect. (People and information.),classicslib,"Sat, 02 Jun 2012 20:11:34 +0000"
